Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
26/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
25/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
24/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
23/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
18/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
17/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
13/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
12/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
11/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
10/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
09/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
06/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
05/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
04/09/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
30/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
29/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
28/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
27/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
26/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
23/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
22/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
21/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
15/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
14/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
13/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
12/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
09/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
08/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
07/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
06/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
05/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
02/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
01/08/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
31/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
30/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
29/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
26/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
25/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
24/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
23/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
22/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
18/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
17/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
15/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
12/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
11/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
10/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
09/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
08/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
05/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
04/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
03/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
02/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
01/07/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
28/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
27/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
26/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
25/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
24/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
21/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
18/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
17/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
14/06/2024,15799926,15799926,1300,1400,1200,-,,21,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
