Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
26/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
19/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
18/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
17/09/2024,10559996,10357276,8800,10100,7500,-,,91,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
